duration,subjID,stimulus,pos_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
1000,480789,000780_2014-06-08_22-28-29_260595134347_rgbf000126-resize,2.311005675,2.311005675,0.894456128,-0.894456128,14.16539078,3.3825
1000,480789,000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize,2.791682033,2.791682033,0.293627722,0.293627722,22.48637943,1.831
1000,480789,000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize,3.05092153,3.05092153,0.770127722,0.770127722,6.620498201,1.3545
1000,480789,002784_2014-06-22_19-26-30_094959634447_rgbf000083-resize,0.625511766,0.625511766,1.860535843,-1.860535843,3.042252247,1.804666667
1000,480789,000469_2014-06-09_19-42-10_260595134347_rgbf000081-resize,0.708569961,0.708569961,1.707869176,-1.707869176,25.13136208,1.652
1000,480789,000483_2014-06-09_20-41-45_260595134347_rgbf000116-resize,0.153113195,0.153113195,2.119701476,-2.119701476,29.23241499,1.337
1000,480789,002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize,0.687352038,0.687352038,1.746869176,-1.746869176,28.95381292,1.691
1000,480789,002039_2014-06-24_20-22-38_260595134347_rgbf000084-resize,1.389666956,1.389666956,2.283372278,-2.283372278,15.52430364,4.408
1000,480789,000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize,0.438151081,0.438151081,3.118620727,-3.118620727,14.74084621,4.153
1000,480789,000457_2014-06-08_16-52-43_260595134347_rgbf000199-resize,0.348935785,0.348935785,2.978036877,-2.978036877,14.06727982,3.649
1000,480789,001175_2014-06-17_15-45-55_260595134347_rgbf000129-resize,1.836322651,1.836322651,1.766956128,-1.766956128,15.3490391,4.255
1000,480789,002279_2014-06-28_18-55-32_260595134347_rgbf000040-resize,0.78890791,0.78890791,1.560202509,-1.560202509,15.96377228,1.504333333
1000,480789,003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize,0.156070304,0.156070304,3.332536877,-3.332536877,24.35560653,4.0035
1000,480789,002725_2014-06-22_11-47-51_094959634447_rgbf000070-resize,0.049735035,0.049735035,2.614285326,-2.614285326,3.938570017,2.195
1000,480789,002344_2014-06-28_20-06-29_260595134347_rgbf000030-resize,0.021181237,0.021181237,2.362201476,-2.362201476,37.33165518,1.5795
1000,480789,000642_2014-06-08_16-59-25_260595134347_rgbf000098-resize,0.039661332,0.039661332,2.937369176,-2.937369176,31.36214301,2.8815
1000,480789,002425_2014-06-28_20-27-29_260595134347_rgbf000031-resize,0.577971754,0.577971754,2.861620727,-2.861620727,8.404958011,3.896
1000,480789,002323_2014-06-28_20-01-54_260595134347_rgbf000051-resize,0.667739891,0.667739891,2.696620727,-2.696620727,18.09172628,3.731
1000,480789,000878_2014-06-08_22-52-45_260595134347_rgbf000045-resize,1.196020563,1.196020563,1.421036877,-1.421036877,5.576511522,2.092
1000,480789,002953_2014-06-08_17-32-18_094959634447_rgbf000059-resize,0.763518942,0.763518942,1.606869176,-1.606869176,13.90502793,1.551
1000,480789,002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize,0.104104804,0.104104804,3.732620727,-3.732620727,14.46030657,4.767
1000,480789,000810_2014-06-08_17-20-01_260595134347_rgbf000105-resize,0.071777823,0.071777823,2.269201476,-2.269201476,3.095889012,1.4865
1000,480789,001214_2014-06-17_16-13-55_260595134347_rgbf000111-resize,0.165336723,0.165336723,2.706369176,-2.706369176,18.47928258,2.6505
1000,480789,002272_2014-06-28_18-53-56_260595134347_rgbf000067-resize,0.261379008,0.261379008,1.920701476,-1.920701476,10.40924581,1.138
1000,480789,001571_2014-06-20_17-21-32_260595134347_rgbf000089-resize,0.958823854,0.958823854,1.552453026,-1.552453026,4.99196035,1.86
1000,480789,002788_2014-06-22_19-36-03_094959634447_rgbf000088-resize,0.711562232,0.711562232,1.702369176,-1.702369176,21.7158464,1.6465
1000,480789,000436_2014-06-09_22-25-11_260595134347_rgbf000137-resize,0.119619,0.119619,3.399536877,-3.399536877,20.69156546,4.0705
1000,480789,002444_2014-06-28_20-32-08_260595134347_rgbf000027-resize,1.400003893,1.400003893,2.264372278,-2.264372278,17.10276028,4.389
1000,480789,001132_2014-06-17_14-48-54_260595134347_rgbf000100-resize,0.655770806,0.655770806,2.718620727,-2.718620727,14.39827921,3.753
1000,480789,000709_2014-06-08_13-51-55_260595134347_rgbf000068-resize,1.716666964,1.716666964,0.768620727,-0.768620727,14.4293511,1.803
1000,480789,001164_2014-06-17_15-35-46_260595134347_rgbf000085-resize,0.690063494,0.690063494,2.046453026,-2.046453026,17.32566881,2.354
1000,480789,001136_2014-06-17_15-19-41_260595134347_rgbf000076-resize,0.592415433,0.592415433,1.921369176,-1.921369176,18.66779988,1.8655
1000,480789,002153_2014-06-25_21-27-18_260595134347_rgbf000038-resize,1.334744347,1.334744347,1.470620727,-1.470620727,17.28886318,2.505
1000,480789,000739_2014-06-08_18-45-58_260595134347_rgbf000068-resize,0.411501456,0.411501456,2.863036877,-2.863036877,8.164356964,3.534
1000,480789,000734_2014-06-08_17-39-11_260595134347_rgbf000128-resize,1.558322243,1.558322243,1.973372278,-1.973372278,16.05223162,4.098
1000,480789,002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize,2.75876705,2.75876705,0.233127722,0.233127722,17.99500168,1.8915
1000,480789,002989_2014-06-15_12-25-03_094959634447_rgbf000150-resize,0.413940887,0.413940887,3.163120727,-3.163120727,27.90678342,4.1975
1000,480789,003534_2014-05-22_15-06-10_094959634447_rgbf000102-resize,0.104692806,0.104692806,2.208701476,-2.208701476,12.37699401,1.426
1000,480789,001016_2014-06-09_16-16-10_260595134347_rgbf000112-resize,1.796370189,1.796370189,0.622120727,-0.622120727,7.049977084,1.6565
1000,480789,001059_2014-06-08_21-53-27_260595134347_rgbf000061-resize,0.291556164,0.291556164,2.474369176,-2.474369176,8.755513319,2.4185
1000,480789,002639_2014-06-24_14-51-37_094959634447_rgbf000074-resize,1.613042195,1.613042195,1.891067309,-1.891067309,16.52140679,4.0375
1000,480789,001570_2014-06-20_17-21-09_260595134347_rgbf000135-resize,0.994151897,0.994151897,2.705788427,-2.705788427,22.17951068,4.467
1000,480789,001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize,0.447943969,0.447943969,3.100620727,-3.100620727,18.95235575,4.135
1000,480789,000447_2014-06-08_16-15-46_260595134347_rgbf000130-resize,1.351039455,1.351039455,2.354372278,-2.354372278,19.08143291,4.479
1000,480789,001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize,1.484875586,1.484875586,2.108372278,-2.108372278,19.74344947,4.233
1000,480789,002758_2014-06-22_19-11-20_094959634447_rgbf000128-resize,0.217293432,0.217293432,2.610869176,-2.610869176,7.204478276,2.555
1000,480789,002549_2014-06-24_13-41-39_094959634447_rgbf000022-resize,1.894571089,1.894571089,0.441620727,-0.441620727,4.173644136,1.476
1000,480789,002750_2014-06-22_19-08-03_094959634447_rgbf000094-resize,0.326647344,0.326647344,2.409869176,-2.409869176,8.789636111,2.354
1000,480789,001199_2014-06-17_16-03-48_260595134347_rgbf000077-resize,0.827418364,0.827418364,2.403120727,-2.403120727,28.28224985,3.4375
